record_id,scope,status,issue_year,online_date,title,journal,volume_issue_pages,doi,pmid,pmcid,first_author,nakashima_author_position,population,n_enrolled,n_primary_analysis,design,exercise_context,sensor_site,primary_comparator_or_endpoint,key_result,fatigue_relevance,main_limitations,conflict_of_interest,full_text_url,tracking_note,last_verified
C01,core,published,2021,2021-03-02,"A novel device for detecting anaerobic threshold using sweat lactate during exercise",Scientific Reports,"11:4929",10.1038/s41598-021-84381-9,33654133,PMC7925537,Yuta Seki,"2nd; co-first; corresponding","23 healthy adults and 42 patients with cardiovascular disease",65,"Responsive/analyzable subsets; 23 CVD sensor responders and 13 CVD with blood lactate","single-center observational validation","incremental cycling","upper arm in healthy participants; forehead in CVD","blood LT1 and ventilatory threshold VT1","sLT-bLT r=0.92; sLT-VT1 r=0.71; mean differences -4.5 W and 2.5 W; low sweating caused nonresponse","indirect; establishes threshold method used by later fatigue studies","small observational study; incomplete analyzability; no sweat-rate measurement; no LOx-free control; poor applicability in low-sweat or severe HF","Nakashima was founder/shareholder; another author was a Grace Imaging employee",https://pmc.ncbi.nlm.nih.gov/articles/PMC7925537/,"Do not equate high correlation with interchangeability; sLT-VT analysis also reported fixed/proportional bias",2026-09-10
C02,core,published,2022,2022-01-19,"Kinetic changes in sweat lactate following fatigue during constant workload exercise",Physiological Reports,"10(2):e15169",10.14814/phy2.15169,35043587,PMC8767313,Hiroki Okawara,3rd,"recreationally trained young men",17,17,"within-person consecutive exercise study","constant-load cycling at 25% peak power; Test 1 to exhaustion then Test 2 for 10 min","upper arm and forehead","pre- versus post-exhaustion sweat-lactate kinetics and subjective fatigue","post-fatigue curve shifted left; peak and 2/3/4 microampere points occurred sooner; all p<0.01","direct preliminary fatigue study","no a priori sample size; one load; young men only; incomplete nutrition/hydration control; chip replacement; no multimodal objective fatigue reference","Nakashima was president/shareholder and was not involved in data acquisition or analysis",https://pmc.ncbi.nlm.nih.gov/articles/PMC8767313/,"Supports direction/timing change, not an absolute concentration cutoff",2026-09-10
C03,core,published,2022,2022-12-07,"Constant Load Pedaling Exercise Combined with Electrical Muscle Stimulation Leads to an Early Increase in Sweat Lactate Levels",Sensors,"22(24):9585",10.3390/s22249585,36559954,PMC9784187,Tomonori Sawada,3rd,"healthy young men",22,"20 for sLT comparison; 15 completed 20 min in both conditions","within-person intervention comparison","20-min constant-load cycling at 125% of premeasured VT with and without EMS",forearm,"end-exercise blood lactate and EMS condition","sLT occurred earlier with EMS; between-condition sLT difference predicted end blood-lactate difference r=-0.52 p<0.05","indirect; metabolic perturbation rather than fatigue validity","small all-male sample; completion attrition; apparently fixed condition order; incomplete prior-day exercise/fasting control","Nakashima was president/shareholder; paper states company had no involvement",https://pmc.ncbi.nlm.nih.gov/articles/PMC9784187/,"Do not classify as direct fatigue-validation evidence",2026-09-10
C04,core,published,2023,2023-03-23,"Implications of the Onset of Sweating on the Sweat Lactate Threshold",Sensors,"23(7):3378",10.3390/s23073378,37050438,PMC10098635,Yuta Maeda,4th,"healthy men",40,40,"observational cross-sectional validation","incremental cycling",upper arm,"onset of sweating and blood lactate threshold","sLT-bLT r=0.68 overall; early-sweat group r=0.74; regular group r=0.61; five late-sweat cases had mean discrepancy 106.8 s","measurement-quality relevance","single exercise mode; observational; men only; late-sweat subgroup n=5","Nakashima was president/shareholder and was not involved in data acquisition or analysis",https://pmc.ncbi.nlm.nih.gov/articles/PMC10098635/,"Sweat onset is not sLT but late sweat can delay sLT; implement a sweat-adequacy gate",2026-09-10
C05,core,published,2023,2023-06-26,"Estimation of maximal lactate steady state using the sweat lactate sensor",Scientific Reports,"13:10366",10.1038/s41598-023-36983-8,37365235,PMC10293173,Yuki Muramoto,2nd,"adults with varied exercise habits; trained n=11 and untrained n=4",15,15,"prospective repeated constant-load assessment","cycling for 30 min at 110/115/120/125% of sLT","upper arm","blood-lactate-defined maximal lactate steady state and tissue oxygenation","individual MLSS was 110/115/120/125% of sLT in 1/4/3/7 participants; 80% trained >=120%; 75% untrained <=115%","training prescription rather than fatigue diagnosis","very small sample; untrained n=4; group age/body-fat imbalance; no 130% test; observational","Nakashima was shareholder/CEO; Grace Imaging provided sensor equipment",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293173/,"No universal multiplier; stratify by training status and validate individually",2026-09-10
C06,core,published,2023,2023-12-21,"Anaerobic threshold using sweat lactate sensor under hypoxia",Scientific Reports,"13:22865",10.1038/s41598-023-49369-7,38129473,PMC10739691,Hiroki Okawara,8th,"healthy participants; article limitations describe college-aged men",20,20,"cross-sectional repeated-condition reliability/validity study","incremental cycling in normoxia and hypoxia FiO2 15.4+/-0.8%",upper arm,"ventilatory threshold and evaluator reliability","hypoxia sLT-VT r=0.70; intra-evaluator ICC=0.782; inter-evaluator ICC=0.933; mean difference -15.5 s","indirect; broadens threshold context","small selected sample; excluded low sweaters below 0.4 mg/cm2/min; one hypoxia level; current rather than calibrated concentration","Nakashima was Grace Imaging founder/shareholder",https://pmc.ncbi.nlm.nih.gov/articles/PMC10739691/,"Selection on sweat rate limits deployment generalizability",2026-09-10
C07,core,published,2024,2024-08-10,"Lactate threshold evaluation in swimming using a sweat lactate sensor: A prospective study",European Journal of Sport Science,"24(9):1302-1312",10.1002/ejsc.12179,39126367,PMC11369350,Hiroki Okawara,3rd,"university swimmers; 58% male",24,24,"prospective two-protocol validation","incremental flume swimming with breaks for blood sampling and without breaks",dorsal upper arm,"blood lactate threshold speed and performance","sLT speed-bLT speed r=0.824; mean difference 0.08 m/s; no-break sLT versus break-test bLT r=0.868; some analyses showed fixed/proportional bias","indirect; sport-specific threshold assessment","single flume and water temperature; trained young swimmers; protocol breaks may alter threshold; environment affects sweating","Nakashima was president/shareholder and was not involved in data acquisition or analysis",https://pmc.ncbi.nlm.nih.gov/articles/PMC11369350/,"Grace website text has DOI typo 10.10002; verified DOI is 10.1002/ejsc.12179",2026-09-10
C08,core,published,2024,2024-08-16,"Sweat lactate sensor for detecting anaerobic threshold in heart failure: a prospective clinical trial (LacS-001)",Scientific Reports,"14:18985",10.1038/s41598-024-70001-9,39152287,PMC11329511,Yoshinori Katsumata,18th,"heart failure NYHA class I-II; mostly men",50,32,"prospective clinical trial; single-arm diagnostic agreement and safety","incremental ramp cycling CPET",forehead,"ventilatory threshold and device-related adverse events","sLT-VT r=0.651 95% CI 0.391-0.815; difference -4.9+/-15.0 W; 32/50 primary analysis; sLT interrater ICC=0.701; no device-related adverse event","clinical threshold use; not direct fatigue monitoring","selected mild HF; primary analyzability 64%; limited women; no NYHA III; ergometer only; safety sample small","Nakashima was founder/shareholder; another author was founder/shareholder and sensor-chip patent holder",https://pmc.ncbi.nlm.nih.gov/articles/PMC11329511/,"Report analyzability with accuracy; low/intermediate/high sweat groups had 53/100/75% clear sLT",2026-09-10
C09,core,published-online-2025_issue-2026,2026,2025-09-07,"A novel fatigue monitoring system using sweat lactate: a preliminary study","Fatigue: Biomedicine, Health & Behavior","14(1):27-41",10.1080/21641846.2025.2554557,,,Ayumu Takemoto,"10th; last; corresponding","male college soccer players",18,18,"pre-match test-retest plus post-match observational study","incremental ergometer test; two pre-match and one 2 days post-match",upper arm,"ventilatory threshold and 10-Hz GNSS high-speed distance","sLT ICC=0.777 95% CI 0.506-0.910; sLT change correlated with high-speed distance r=0.64 and VT change r=0.77; study-protocol MDC95 about 10 W","direct preliminary fatigue study","small male college sample; one match and one post-match time point; ICC below 0.90; environmental/test-spacing effects; no hormonal/inflammatory/immune/enzymatic or neuromuscular comparator","Nakashima was president/shareholder and was not involved in data acquisition or analysis",https://www.tandfonline.com/doi/full/10.1080/21641846.2025.2554557,"Greater match high-speed distance tended to lower/earlier post-match sLT; retain both online and issue dates",2026-09-10
C10,core,published,2026,2026-01-12,"Aerobic Threshold Evaluation Using a Sweat Lactate Sensor in Healthy Women",International Journal of Sports Medicine,"47(6):425-432",10.1055/a-2771-5130,41525782,,Tomonori Sawada,"9th; last","healthy women",16,16,"validation study","exercise test with respiratory gas analysis","not confirmed from accessible abstract","ventilatory threshold and sweating dynamics","sLT detected in all; sLT-VT Spearman r=0.769; sLT significantly delayed; sweat onset predicted discrepancy r=0.873","measurement-quality and sex generalizability","small healthy-women sample; systematic delay; full-text details not used because only abstract was accessible in this review","Nakashima was president/shareholder; company was not involved",https://pubmed.ncbi.nlm.nih.gov/41525782/,"Not listed on Grace official Paper page at verification date; abstract-level extraction only",2026-09-10
